Region,Area,Year,Month,Dwelling_Type,kwh_per_acc
Central Region,Geylang,2012,1,1-room / 2-room,159.2
Central Region,Geylang,2012,1,Landed Properties,1036.9
Central Region,Geylang,2012,1,Private Apartments and Condominiums,680.2
Central Region,Geylang,2012,2,1-room / 2-room,157.6
Central Region,Geylang,2012,2,Landed Properties,1084.5
Central Region,Geylang,2012,2,Private Apartments and Condominiums,687.4
Central Region,Geylang,2012,3,1-room / 2-room,152.6
Central Region,Geylang,2012,3,Landed Properties,1049.6
Central Region,Geylang,2012,3,Private Apartments and Condominiums,680.6
Central Region,Geylang,2012,4,1-room / 2-room,162.1
Central Region,Geylang,2012,4,Landed Properties,1109.8
Central Region,Geylang,2012,4,Private Apartments and Condominiums,738.7
Central Region,Geylang,2012,5,1-room / 2-room,161.0
Central Region,Geylang,2012,5,Landed Properties,1172.8
Central Region,Geylang,2012,5,Private Apartments and Condominiums,793.2
Central Region,Geylang,2012,6,1-room / 2-room,183.1
Central Region,Geylang,2012,6,Landed Properties,1216.3
Central Region,Geylang,2012,6,Private Apartments and Condominiums,809.0
Central Region,Geylang,2012,7,1-room / 2-room,171.3
Central Region,Geylang,2012,7,Landed Properties,1237.2
Central Region,Geylang,2012,7,Private Apartments and Condominiums,828.5
Central Region,Geylang,2012,8,1-room / 2-room,175.2
Central Region,Geylang,2012,8,Landed Properties,1272.3
Central Region,Geylang,2012,8,Private Apartments and Condominiums,790.8
Central Region,Geylang,2012,9,1-room / 2-room,168.0
Central Region,Geylang,2012,9,Landed Properties,1209.0
Central Region,Geylang,2012,9,Private Apartments and Condominiums,784.7
Central Region,Geylang,2012,10,1-room / 2-room,164.6
Central Region,Geylang,2012,10,Landed Properties,1155.9
Central Region,Geylang,2012,10,Private Apartments and Condominiums,740.9
Central Region,Geylang,2012,11,1-room / 2-room,169.3
Central Region,Geylang,2012,11,Landed Properties,1174.9
Central Region,Geylang,2012,11,Private Apartments and Condominiums,751.6
Central Region,Geylang,2012,12,1-room / 2-room,158.2
Central Region,Geylang,2012,12,Landed Properties,1135.8
Central Region,Geylang,2012,12,Private Apartments and Condominiums,707.9
Central Region,Geylang,2013,1,1-room / 2-room,160.0
Central Region,Geylang,2013,1,Landed Properties,1082.6
Central Region,Geylang,2013,1,Private Apartments and Condominiums,648.7
Central Region,Geylang,2013,2,1-room / 2-room,151.1
Central Region,Geylang,2013,2,Landed Properties,1109.1
Central Region,Geylang,2013,2,Private Apartments and Condominiums,660.0
Central Region,Geylang,2013,3,1-room / 2-room,150.5
Central Region,Geylang,2013,3,Landed Properties,1057.7
Central Region,Geylang,2013,3,Private Apartments and Condominiums,643.1
Central Region,Geylang,2013,4,1-room / 2-room,171.5
Central Region,Geylang,2013,4,Landed Properties,1153.0
Central Region,Geylang,2013,4,Private Apartments and Condominiums,680.7
Central Region,Geylang,2013,5,1-room / 2-room,177.8
Central Region,Geylang,2013,5,Landed Properties,1269.8
Central Region,Geylang,2013,5,Private Apartments and Condominiums,814.5
Central Region,Geylang,2013,6,1-room / 2-room,179.3
Central Region,Geylang,2013,6,Landed Properties,1267.5
Central Region,Geylang,2013,6,Private Apartments and Condominiums,793.6
Central Region,Geylang,2013,7,1-room / 2-room,176.7
Central Region,Geylang,2013,7,Landed Properties,1266.9
Central Region,Geylang,2013,7,Private Apartments and Condominiums,761.7
Central Region,Geylang,2013,8,1-room / 2-room,186.5
Central Region,Geylang,2013,8,Landed Properties,1331.9
Central Region,Geylang,2013,8,Private Apartments and Condominiums,770.7
Central Region,Geylang,2013,9,1-room / 2-room,171.3
Central Region,Geylang,2013,9,Landed Properties,1210.1
Central Region,Geylang,2013,9,Private Apartments and Condominiums,677.6
Central Region,Geylang,2013,10,1-room / 2-room,163.1
Central Region,Geylang,2013,10,Landed Properties,1215.5
Central Region,Geylang,2013,10,Private Apartments and Condominiums,665.8
Central Region,Geylang,2013,11,1-room / 2-room,170.9
Central Region,Geylang,2013,11,Landed Properties,1189.3
Central Region,Geylang,2013,11,Private Apartments and Condominiums,687.8
Central Region,Geylang,2013,12,1-room / 2-room,158.9
Central Region,Geylang,2013,12,Landed Properties,1164.8
Central Region,Geylang,2013,12,Private Apartments and Condominiums,651.7
Central Region,Geylang,2014,1,1-room / 2-room,162.9
Central Region,Geylang,2014,1,Landed Properties,1067.4
Central Region,Geylang,2014,1,Private Apartments and Condominiums,590.7
Central Region,Geylang,2014,2,1-room / 2-room,149.3
Central Region,Geylang,2014,2,Landed Properties,1125.5
Central Region,Geylang,2014,2,Private Apartments and Condominiums,580.4
Central Region,Geylang,2014,3,1-room / 2-room,146.3
Central Region,Geylang,2014,3,Landed Properties,1053.8
Central Region,Geylang,2014,3,Private Apartments and Condominiums,572.9
Central Region,Geylang,2014,4,1-room / 2-room,170.4
Central Region,Geylang,2014,4,Landed Properties,1141.2
Central Region,Geylang,2014,4,Private Apartments and Condominiums,623.9
Central Region,Geylang,2014,5,1-room / 2-room,179.2
Central Region,Geylang,2014,5,Landed Properties,1267.9
Central Region,Geylang,2014,5,Private Apartments and Condominiums,750.9
Central Region,Geylang,2014,6,1-room / 2-room,190.6
Central Region,Geylang,2014,6,Landed Properties,1254.2
Central Region,Geylang,2014,6,Private Apartments and Condominiums,720.1
Central Region,Geylang,2014,7,1-room / 2-room,185.2
Central Region,Geylang,2014,7,Landed Properties,1291.6
Central Region,Geylang,2014,7,Private Apartments and Condominiums,704.2
Central Region,Geylang,2014,8,1-room / 2-room,192.1
Central Region,Geylang,2014,8,Landed Properties,1284.5
Central Region,Geylang,2014,8,Private Apartments and Condominiums,713.7
Central Region,Geylang,2014,9,1-room / 2-room,179.5
Central Region,Geylang,2014,9,Landed Properties,1235.8
Central Region,Geylang,2014,9,Private Apartments and Condominiums,661.4
Central Region,Geylang,2014,10,1-room / 2-room,180.3
Central Region,Geylang,2014,10,Landed Properties,1216.7
Central Region,Geylang,2014,10,Private Apartments and Condominiums,643.2
Central Region,Geylang,2014,11,1-room / 2-room,175.4
Central Region,Geylang,2014,11,Landed Properties,1251.9
Central Region,Geylang,2014,11,Private Apartments and Condominiums,678.6
Central Region,Geylang,2014,12,1-room / 2-room,170.3
Central Region,Geylang,2014,12,Landed Properties,1221.3
Central Region,Geylang,2014,12,Private Apartments and Condominiums,660.9
Central Region,Geylang,2015,1,1-room / 2-room,169.1
Central Region,Geylang,2015,1,Landed Properties,1067.3
Central Region,Geylang,2015,1,Private Apartments and Condominiums,537.6
Central Region,Geylang,2015,2,1-room / 2-room,150.4
Central Region,Geylang,2015,2,Landed Properties,1047.6
Central Region,Geylang,2015,2,Private Apartments and Condominiums,552.0
Central Region,Geylang,2015,3,1-room / 2-room,150.4
Central Region,Geylang,2015,3,Landed Properties,1014.4
Central Region,Geylang,2015,3,Private Apartments and Condominiums,536.8
Central Region,Geylang,2015,4,1-room / 2-room,176.2
Central Region,Geylang,2015,4,Landed Properties,1112.4
Central Region,Geylang,2015,4,Private Apartments and Condominiums,587.1
Central Region,Geylang,2015,5,1-room / 2-room,178.9
Central Region,Geylang,2015,5,Landed Properties,1197.4
Central Region,Geylang,2015,5,Private Apartments and Condominiums,654.9
Central Region,Geylang,2015,6,1-room / 2-room,194.7
Central Region,Geylang,2015,6,Landed Properties,1269.8
Central Region,Geylang,2015,6,Private Apartments and Condominiums,678.0
Central Region,Geylang,2015,7,1-room / 2-room,191.9
Central Region,Geylang,2015,7,Landed Properties,1290.7
Central Region,Geylang,2015,7,Private Apartments and Condominiums,667.7
Central Region,Geylang,2015,8,1-room / 2-room,189.7
Central Region,Geylang,2015,8,Landed Properties,1234.5
Central Region,Geylang,2015,8,Private Apartments and Condominiums,679.3
Central Region,Geylang,2015,9,1-room / 2-room,180.2
Central Region,Geylang,2015,9,Landed Properties,1233.3
Central Region,Geylang,2015,9,Private Apartments and Condominiums,637.3
Central Region,Geylang,2015,10,1-room / 2-room,188.5
Central Region,Geylang,2015,10,Landed Properties,1264.7
Central Region,Geylang,2015,10,Private Apartments and Condominiums,659.7
Central Region,Geylang,2015,11,1-room / 2-room,193.5
Central Region,Geylang,2015,11,Landed Properties,1205.8
Central Region,Geylang,2015,11,Private Apartments and Condominiums,644.9
Central Region,Geylang,2015,12,1-room / 2-room,183.7
Central Region,Geylang,2015,12,Landed Properties,1238.2
Central Region,Geylang,2015,12,Private Apartments and Condominiums,649.9
Central Region,Geylang,2016,1,1-room / 2-room,178.2
Central Region,Geylang,2016,1,Landed Properties,1103.3
Central Region,Geylang,2016,1,Private Apartments and Condominiums,554.5
Central Region,Geylang,2016,2,1-room / 2-room,160.7
Central Region,Geylang,2016,2,Landed Properties,1186.2
Central Region,Geylang,2016,2,Private Apartments and Condominiums,585.4
Central Region,Geylang,2016,3,1-room / 2-room,158.5
Central Region,Geylang,2016,3,Landed Properties,1103.1
Central Region,Geylang,2016,3,Private Apartments and Condominiums,554.4
Central Region,Geylang,2016,4,1-room / 2-room,187.3
Central Region,Geylang,2016,4,5-room and Executive,530.9
Central Region,Geylang,2016,4,Landed Properties,1198.1
Central Region,Geylang,2016,4,Private Apartments and Condominiums,614.4
Central Region,Geylang,2016,5,1-room / 2-room,190.5
Central Region,Geylang,2016,5,5-room and Executive,548.0
Central Region,Geylang,2016,5,Landed Properties,1328.8
Central Region,Geylang,2016,5,Private Apartments and Condominiums,722.1
Central Region,Geylang,2016,6,1-room / 2-room,204.2
Central Region,Geylang,2016,6,5-room and Executive,592.3
Central Region,Geylang,2016,6,Landed Properties,1256.4
Central Region,Geylang,2016,6,Private Apartments and Condominiums,688.8
Central Region,Geylang,2016,7,1-room / 2-room,193.5
Central Region,Geylang,2016,7,5-room and Executive,542.6
Central Region,Geylang,2016,7,Landed Properties,1138.4
Central Region,Geylang,2016,7,Private Apartments and Condominiums,620.2
Central Region,Geylang,2016,8,1-room / 2-room,184.7
Central Region,Geylang,2016,8,5-room and Executive,514.8
Central Region,Geylang,2016,8,Landed Properties,1231.4
Central Region,Geylang,2016,8,Private Apartments and Condominiums,634.6
Central Region,Geylang,2016,9,1-room / 2-room,187.6
Central Region,Geylang,2016,9,5-room and Executive,523.0
Central Region,Geylang,2016,9,Landed Properties,1124.4
Central Region,Geylang,2016,9,Private Apartments and Condominiums,596.3
Central Region,Geylang,2016,10,1-room / 2-room,170.0
Central Region,Geylang,2016,10,Landed Properties,1190.2
Central Region,Geylang,2016,10,Private Apartments and Condominiums,641.5
Central Region,Geylang,2016,11,1-room / 2-room,171.4
Central Region,Geylang,2016,11,Landed Properties,1149.6
Central Region,Geylang,2016,11,Private Apartments and Condominiums,596.9
Central Region,Geylang,2016,12,1-room / 2-room,159.8
Central Region,Geylang,2016,12,Landed Properties,1068.5
Central Region,Geylang,2016,12,Private Apartments and Condominiums,563.3
Central Region,Geylang,2017,1,1-room / 2-room,171.3
Central Region,Geylang,2017,1,5-room and Executive,453.0
Central Region,Geylang,2017,1,Landed Properties,1044.9
Central Region,Geylang,2017,1,Private Apartments and Condominiums,529.8
Central Region,Geylang,2017,2,1-room / 2-room,163.2
Central Region,Geylang,2017,2,5-room and Executive,439.5
Central Region,Geylang,2017,2,Landed Properties,1121.9
Central Region,Geylang,2017,2,Private Apartments and Condominiums,546.1
Central Region,Geylang,2017,3,1-room / 2-room,156.8
Central Region,Geylang,2017,3,5-room and Executive,416.4
Central Region,Geylang,2017,3,Landed Properties,927.5
Central Region,Geylang,2017,3,Private Apartments and Condominiums,452.6
Central Region,Geylang,2017,4,1-room / 2-room,163.0
Central Region,Geylang,2017,4,5-room and Executive,454.2
Central Region,Geylang,2017,4,Landed Properties,1018.5
Central Region,Geylang,2017,4,Private Apartments and Condominiums,518.5
Central Region,Geylang,2017,5,1-room / 2-room,175.8
Central Region,Geylang,2017,5,5-room and Executive,492.6
Central Region,Geylang,2017,5,Landed Properties,1131.9
Central Region,Geylang,2017,5,Private Apartments and Condominiums,616.0
Central Region,Geylang,2017,6,1-room / 2-room,192.5
Central Region,Geylang,2017,6,5-room and Executive,538.0
Central Region,Geylang,2017,6,Landed Properties,1157.2
Central Region,Geylang,2017,6,Private Apartments and Condominiums,616.0
Central Region,Geylang,2017,7,1-room / 2-room,183.0
Central Region,Geylang,2017,7,5-room and Executive,527.1
Central Region,Geylang,2017,7,Landed Properties,1179.5
Central Region,Geylang,2017,7,Private Apartments and Condominiums,616.3
Central Region,Geylang,2017,8,1-room / 2-room,174.9
Central Region,Geylang,2017,8,5-room and Executive,508.3
Central Region,Geylang,2017,8,Landed Properties,1134.7
Central Region,Geylang,2017,8,Private Apartments and Condominiums,569.1
Central Region,Geylang,2017,9,1-room / 2-room,176.0
Central Region,Geylang,2017,9,5-room and Executive,488.8
Central Region,Geylang,2017,9,Landed Properties,1106.3
Central Region,Geylang,2017,9,Private Apartments and Condominiums,585.4
Central Region,Geylang,2017,10,1-room / 2-room,173.5
Central Region,Geylang,2017,10,5-room and Executive,466.3
Central Region,Geylang,2017,10,Landed Properties,1160.0
Central Region,Geylang,2017,10,Private Apartments and Condominiums,592.2
Central Region,Geylang,2017,11,1-room / 2-room,173.5
Central Region,Geylang,2017,11,5-room and Executive,474.7
Central Region,Geylang,2017,11,Landed Properties,1025.7
Central Region,Geylang,2017,11,Private Apartments and Condominiums,542.4
Central Region,Geylang,2017,12,1-room / 2-room,164.6
Central Region,Geylang,2017,12,5-room and Executive,454.8
Central Region,Geylang,2017,12,Landed Properties,1022.0
Central Region,Geylang,2017,12,Private Apartments and Condominiums,538.1
Central Region,Geylang,2018,1,1-room / 2-room,170.5
Central Region,Geylang,2018,1,3-room,264.9
Central Region,Geylang,2018,1,4-room,359.1
Central Region,Geylang,2018,1,5-room and Executive,431.0
Central Region,Geylang,2018,1,Landed Properties,947.4
Central Region,Geylang,2018,1,Private Apartments and Condominiums,470.6
Central Region,Geylang,2018,2,1-room / 2-room,146.8
Central Region,Geylang,2018,2,3-room,227.8
Central Region,Geylang,2018,2,4-room,336.6
Central Region,Geylang,2018,2,5-room and Executive,387.4
Central Region,Geylang,2018,2,Landed Properties,951.8
Central Region,Geylang,2018,2,Private Apartments and Condominiums,457.4
Central Region,Geylang,2018,3,1-room / 2-room,151.9
Central Region,Geylang,2018,3,3-room,243.5
Central Region,Geylang,2018,3,4-room,335.5
Central Region,Geylang,2018,3,5-room and Executive,407.3
Central Region,Geylang,2018,3,Landed Properties,890.7
Central Region,Geylang,2018,3,Private Apartments and Condominiums,430.9
Central Region,Geylang,2018,4,1-room / 2-room,168.0
Central Region,Geylang,2018,4,3-room,272.2
Central Region,Geylang,2018,4,4-room,364.8
Central Region,Geylang,2018,4,5-room and Executive,440.5
Central Region,Geylang,2018,4,Landed Properties,1016.6
Central Region,Geylang,2018,4,Private Apartments and Condominiums,502.8
Central Region,Geylang,2018,5,1-room / 2-room,167.1
Central Region,Geylang,2018,5,3-room,270.9
Central Region,Geylang,2018,5,4-room,398.7
Central Region,Geylang,2018,5,5-room and Executive,470.0
Central Region,Geylang,2018,5,Landed Properties,1102.1
Central Region,Geylang,2018,5,Private Apartments and Condominiums,569.2
Central Region,Geylang,2018,6,1-room / 2-room,197.9
Central Region,Geylang,2018,6,3-room,320.1
Central Region,Geylang,2018,6,4-room,425.2
Central Region,Geylang,2018,6,5-room and Executive,516.6
Central Region,Geylang,2018,6,Landed Properties,1112.3
Central Region,Geylang,2018,6,Private Apartments and Condominiums,582.0
Central Region,Geylang,2018,7,1-room / 2-room,175.0
Central Region,Geylang,2018,7,3-room,288.4
Central Region,Geylang,2018,7,4-room,400.6
Central Region,Geylang,2018,7,5-room and Executive,478.1
Central Region,Geylang,2018,7,Landed Properties,1077.9
Central Region,Geylang,2018,7,Private Apartments and Condominiums,536.9
Central Region,Geylang,2018,8,1-room / 2-room,171.2
Central Region,Geylang,2018,8,3-room,276.3
Central Region,Geylang,2018,8,4-room,393.8
Central Region,Geylang,2018,8,5-room and Executive,466.7
Central Region,Geylang,2018,8,Landed Properties,1054.7
Central Region,Geylang,2018,8,Private Apartments and Condominiums,527.3
Central Region,Geylang,2018,9,1-room / 2-room,179.4
Central Region,Geylang,2018,9,3-room,291.0
Central Region,Geylang,2018,9,4-room,406.0
Central Region,Geylang,2018,9,5-room and Executive,490.4
Central Region,Geylang,2018,9,Landed Properties,1047.0
Central Region,Geylang,2018,9,Private Apartments and Condominiums,558.9
Central Region,Geylang,2018,10,1-room / 2-room,172.1
Central Region,Geylang,2018,10,3-room,275.3
Central Region,Geylang,2018,10,4-room,394.3
Central Region,Geylang,2018,10,5-room and Executive,478.9
Central Region,Geylang,2018,10,Landed Properties,1115.9
Central Region,Geylang,2018,10,Private Apartments and Condominiums,569.1
Central Region,Geylang,2018,11,1-room / 2-room,170.8
Central Region,Geylang,2018,11,3-room,271.0
Central Region,Geylang,2018,11,4-room,367.8
Central Region,Geylang,2018,11,5-room and Executive,447.6
Central Region,Geylang,2018,11,Landed Properties,1012.2
Central Region,Geylang,2018,11,Private Apartments and Condominiums,498.4
Central Region,Geylang,2018,12,1-room / 2-room,161.6
Central Region,Geylang,2018,12,3-room,248.8
Central Region,Geylang,2018,12,4-room,353.7
Central Region,Geylang,2018,12,5-room and Executive,416.3
Central Region,Geylang,2018,12,Landed Properties,991.5
Central Region,Geylang,2018,12,Private Apartments and Condominiums,498.1
Central Region,Geylang,2019,1,1-room / 2-room,168.0
Central Region,Geylang,2019,1,3-room,267.5
Central Region,Geylang,2019,1,4-room,370.5
Central Region,Geylang,2019,1,5-room and Executive,432.5
Central Region,Geylang,2019,1,Landed Properties,1015.3
Central Region,Geylang,2019,1,Private Apartments and Condominiums,501.2
Central Region,Geylang,2019,2,1-room / 2-room,168.1
Central Region,Geylang,2019,2,3-room,270.2
Central Region,Geylang,2019,2,4-room,380.5
Central Region,Geylang,2019,2,5-room and Executive,445.0
Central Region,Geylang,2019,2,Landed Properties,1038.9
Central Region,Geylang,2019,2,Private Apartments and Condominiums,508.9
Central Region,Geylang,2019,3,1-room / 2-room,162.2
Central Region,Geylang,2019,3,3-room,246.9
Central Region,Geylang,2019,3,4-room,351.1
Central Region,Geylang,2019,3,5-room and Executive,425.1
Central Region,Geylang,2019,3,Landed Properties,935.8
Central Region,Geylang,2019,3,Private Apartments and Condominiums,496.9
Central Region,Geylang,2019,4,1-room / 2-room,160.5
Central Region,Geylang,2019,4,3-room,250.9
Central Region,Geylang,2019,4,4-room,315.2
Central Region,Geylang,2019,4,5-room and Executive,372.0
Central Region,Geylang,2019,4,Landed Properties,897.4
Central Region,Geylang,2019,4,Private Apartments and Condominiums,451.8
Central Region,Geylang,2019,5,1-room / 2-room,176.2
Central Region,Geylang,2019,5,3-room,280.9
Central Region,Geylang,2019,5,4-room,369.2
Central Region,Geylang,2019,5,5-room and Executive,449.1
Central Region,Geylang,2019,5,Landed Properties,1041.5
Central Region,Geylang,2019,5,Private Apartments and Condominiums,552.5
Central Region,Geylang,2019,6,1-room / 2-room,180.4
Central Region,Geylang,2019,6,3-room,292.4
Central Region,Geylang,2019,6,4-room,402.6
Central Region,Geylang,2019,6,5-room and Executive,490.0
Central Region,Geylang,2019,6,Landed Properties,1060.9
Central Region,Geylang,2019,6,Private Apartments and Condominiums,580.0
Central Region,Geylang,2019,7,1-room / 2-room,172.0
Central Region,Geylang,2019,7,3-room,275.1
Central Region,Geylang,2019,7,4-room,385.3
Central Region,Geylang,2019,7,5-room and Executive,472.1
Central Region,Geylang,2019,7,Landed Properties,1005.0
Central Region,Geylang,2019,7,Private Apartments and Condominiums,530.3
Central Region,Geylang,2019,8,1-room / 2-room,179.4
Central Region,Geylang,2019,8,3-room,282.5
Central Region,Geylang,2019,8,4-room,392.4
Central Region,Geylang,2019,8,5-room and Executive,472.6
Central Region,Geylang,2019,8,Landed Properties,1081.7
Central Region,Geylang,2019,8,Private Apartments and Condominiums,542.6
Central Region,Geylang,2019,9,1-room / 2-room,179.9
Central Region,Geylang,2019,9,3-room,291.9
Central Region,Geylang,2019,9,4-room,399.2
Central Region,Geylang,2019,9,5-room and Executive,487.9
Central Region,Geylang,2019,9,Landed Properties,1141.1
Central Region,Geylang,2019,9,Private Apartments and Condominiums,578.2
Central Region,Geylang,2019,10,1-room / 2-room,175.7
Central Region,Geylang,2019,10,3-room,278.9
Central Region,Geylang,2019,10,4-room,387.2
Central Region,Geylang,2019,10,5-room and Executive,473.1
Central Region,Geylang,2019,10,Landed Properties,1106.3
Central Region,Geylang,2019,10,Private Apartments and Condominiums,557.1
Central Region,Geylang,2019,11,1-room / 2-room,176.0
Central Region,Geylang,2019,11,3-room,280.7
Central Region,Geylang,2019,11,4-room,389.2
Central Region,Geylang,2019,11,5-room and Executive,473.3
Central Region,Geylang,2019,11,Landed Properties,1062.0
Central Region,Geylang,2019,11,Private Apartments and Condominiums,555.3
Central Region,Geylang,2019,12,1-room / 2-room,157.7
Central Region,Geylang,2019,12,3-room,253.6
Central Region,Geylang,2019,12,4-room,356.9
Central Region,Geylang,2019,12,5-room and Executive,440.0
Central Region,Geylang,2019,12,Landed Properties,1005.3
Central Region,Geylang,2019,12,Private Apartments and Condominiums,521.4
Central Region,Geylang,2020,1,1-room / 2-room,151.7
Central Region,Geylang,2020,1,3-room,244.8
Central Region,Geylang,2020,1,4-room,324.3
Central Region,Geylang,2020,1,5-room and Executive,382.3
Central Region,Geylang,2020,1,Landed Properties,916.9
Central Region,Geylang,2020,1,Private Apartments and Condominiums,447.9
Central Region,Geylang,2020,2,1-room / 2-room,160.9
Central Region,Geylang,2020,2,3-room,256.7
Central Region,Geylang,2020,2,4-room,359.3
Central Region,Geylang,2020,2,5-room and Executive,429.7
Central Region,Geylang,2020,2,Landed Properties,1018.0
Central Region,Geylang,2020,2,Private Apartments and Condominiums,473.8
Central Region,Geylang,2020,3,1-room / 2-room,159.9
Central Region,Geylang,2020,3,3-room,258.1
Central Region,Geylang,2020,3,4-room,357.6
Central Region,Geylang,2020,3,5-room and Executive,433.4
Central Region,Geylang,2020,3,Landed Properties,1037.7
Central Region,Geylang,2020,3,Private Apartments and Condominiums,485.5
Central Region,Geylang,2020,4,1-room / 2-room,175.3
Central Region,Geylang,2020,4,3-room,280.6
Central Region,Geylang,2020,4,4-room,393.2
Central Region,Geylang,2020,4,5-room and Executive,473.9
Central Region,Geylang,2020,4,Landed Properties,1045.9
Central Region,Geylang,2020,4,Private Apartments and Condominiums,507.1
Central Region,Geylang,2020,5,1-room / 2-room,185.3
Central Region,Geylang,2020,5,3-room,295.2
Central Region,Geylang,2020,5,4-room,414.2
Central Region,Geylang,2020,5,5-room and Executive,494.2
Central Region,Geylang,2020,5,Landed Properties,1077.7
Central Region,Geylang,2020,5,Private Apartments and Condominiums,537.0
Central Region,Geylang,2020,6,1-room / 2-room,227.9
Central Region,Geylang,2020,6,3-room,392.5
Central Region,Geylang,2020,6,4-room,480.5
Central Region,Geylang,2020,6,5-room and Executive,579.4
Central Region,Geylang,2020,6,Landed Properties,1239.7
Central Region,Geylang,2020,6,Private Apartments and Condominiums,672.0
Central Region,Geylang,2020,7,1-room / 2-room,203.9
Central Region,Geylang,2020,7,3-room,332.0
Central Region,Geylang,2020,7,4-room,520.0
Central Region,Geylang,2020,7,5-room and Executive,632.8
Central Region,Geylang,2020,7,Landed Properties,1232.0
Central Region,Geylang,2020,7,Private Apartments and Condominiums,785.4
Central Region,Geylang,2020,8,1-room / 2-room,194.0
Central Region,Geylang,2020,8,3-room,303.0
Central Region,Geylang,2020,8,4-room,443.2
Central Region,Geylang,2020,8,5-room and Executive,530.1
Central Region,Geylang,2020,8,Landed Properties,1138.8
Central Region,Geylang,2020,8,Private Apartments and Condominiums,598.1
Central Region,Geylang,2020,9,1-room / 2-room,182.0
Central Region,Geylang,2020,9,3-room,286.7
Central Region,Geylang,2020,9,4-room,391.6
Central Region,Geylang,2020,9,5-room and Executive,469.4
Central Region,Geylang,2020,9,Landed Properties,1025.3
Central Region,Geylang,2020,9,Private Apartments and Condominiums,502.2
Central Region,Geylang,2020,10,1-room / 2-room,178.3
Central Region,Geylang,2020,10,3-room,277.6
Central Region,Geylang,2020,10,4-room,393.3
Central Region,Geylang,2020,10,5-room and Executive,471.4
Central Region,Geylang,2020,10,Landed Properties,983.8
Central Region,Geylang,2020,10,Private Apartments and Condominiums,513.1
Central Region,Geylang,2020,11,1-room / 2-room,182.3
Central Region,Geylang,2020,11,3-room,288.1
Central Region,Geylang,2020,11,4-room,398.3
Central Region,Geylang,2020,11,5-room and Executive,474.7
Central Region,Geylang,2020,11,Landed Properties,985.6
Central Region,Geylang,2020,11,Private Apartments and Condominiums,509.7
Central Region,Geylang,2020,12,1-room / 2-room,176.4
Central Region,Geylang,2020,12,3-room,274.3
Central Region,Geylang,2020,12,4-room,391.9
Central Region,Geylang,2020,12,5-room and Executive,465.6
Central Region,Geylang,2020,12,Landed Properties,971.0
Central Region,Geylang,2020,12,Private Apartments and Condominiums,534.2
Central Region,Geylang,2021,1,1-room / 2-room,168.3
Central Region,Geylang,2021,1,3-room,264.0
Central Region,Geylang,2021,1,4-room,362.5
Central Region,Geylang,2021,1,5-room and Executive,433.5
Central Region,Geylang,2021,1,Landed Properties,860.1
Central Region,Geylang,2021,1,Private Apartments and Condominiums,474.7
Central Region,Geylang,2021,2,1-room / 2-room,152.8
Central Region,Geylang,2021,2,3-room,239.0
Central Region,Geylang,2021,2,4-room,342.8
Central Region,Geylang,2021,2,5-room and Executive,406.9
Central Region,Geylang,2021,2,Landed Properties,902.9
Central Region,Geylang,2021,2,Private Apartments and Condominiums,480.8
Central Region,Geylang,2021,3,1-room / 2-room,157.1
Central Region,Geylang,2021,3,3-room,247.6
Central Region,Geylang,2021,3,4-room,338.1
Central Region,Geylang,2021,3,5-room and Executive,407.9
Central Region,Geylang,2021,3,Landed Properties,885.3
Central Region,Geylang,2021,3,Private Apartments and Condominiums,455.0
Central Region,Geylang,2021,4,1-room / 2-room,176.3
Central Region,Geylang,2021,4,3-room,283.8
Central Region,Geylang,2021,4,4-room,377.3
Central Region,Geylang,2021,4,5-room and Executive,453.8
Central Region,Geylang,2021,4,Landed Properties,979.2
Central Region,Geylang,2021,4,Private Apartments and Condominiums,504.9
Central Region,Geylang,2021,5,1-room / 2-room,192.5
Central Region,Geylang,2021,5,3-room,301.4
Central Region,Geylang,2021,5,4-room,425.4
Central Region,Geylang,2021,5,5-room and Executive,511.3
Central Region,Geylang,2021,5,Landed Properties,1052.8
Central Region,Geylang,2021,5,Private Apartments and Condominiums,569.6
Central Region,Geylang,2021,6,1-room / 2-room,212.8
Central Region,Geylang,2021,6,3-room,334.7
Central Region,Geylang,2021,6,4-room,454.5
Central Region,Geylang,2021,6,5-room and Executive,553.6
Central Region,Geylang,2021,6,Landed Properties,1108.7
Central Region,Geylang,2021,6,Private Apartments and Condominiums,625.0
Central Region,Geylang,2021,7,1-room / 2-room,194.3
Central Region,Geylang,2021,7,3-room,305.7
Central Region,Geylang,2021,7,4-room,425.8
Central Region,Geylang,2021,7,5-room and Executive,520.9
Central Region,Geylang,2021,7,Landed Properties,1073.2
Central Region,Geylang,2021,7,Private Apartments and Condominiums,614.8
Central Region,Geylang,2021,8,1-room / 2-room,197.4
Central Region,Geylang,2021,8,3-room,310.4
Central Region,Geylang,2021,8,4-room,452.3
Central Region,Geylang,2021,8,5-room and Executive,541.2
Central Region,Geylang,2021,8,Landed Properties,1095.5
Central Region,Geylang,2021,8,Private Apartments and Condominiums,612.3
Central Region,Geylang,2021,9,1-room / 2-room,187.0
Central Region,Geylang,2021,9,3-room,290.4
Central Region,Geylang,2021,9,4-room,395.0
Central Region,Geylang,2021,9,5-room and Executive,478.7
Central Region,Geylang,2021,9,Landed Properties,973.0
Central Region,Geylang,2021,9,Private Apartments and Condominiums,539.9
Central Region,Geylang,2021,10,1-room / 2-room,187.0
